test_date,Country,host_ip,num_packets,packet_size,base_losses_str,id_pcap_data,discrimination_losses_str,id_pcap_data
2016-04-22 07:04:41,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8845( 131.179.150.72 ),2532,8846( 131.179.150.72 )
2016-04-22 08:04:42,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8861( 131.179.150.72 ),2446,8862( 131.179.150.72 )
2016-04-22 09:04:41,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8877( 131.179.150.72 ),2486,8878( 131.179.150.72 )
2016-04-22 10:04:43,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8893( 131.179.150.72 ),2378,8894( 131.179.150.72 )
2016-04-22 11:04:41,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,47,8909( 131.179.150.72 ),2411,8910( 131.179.150.72 )
2016-04-22 12:04:41,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8925( 131.179.150.72 ),2495,8926( 131.179.150.72 )
2016-04-22 13:04:40,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8941( 131.179.150.72 ),2501,8942( 131.179.150.72 )
2016-04-22 14:04:40,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8957( 131.179.150.72 ),2483,8958( 131.179.150.72 )
2016-04-22 15:04:40,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,56,8973( 131.179.150.72 ),2485,8974( 131.179.150.72 )
2016-04-22 16:04:43,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,8989( 131.179.150.72 ),2436,8990( 131.179.150.72 )
2016-04-22 17:04:40,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,32,9005( 131.179.150.72 ),2519,9006( 131.179.150.72 )
2016-04-22 18:04:41,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,34,9021( 131.179.150.72 ),2571,9022( 131.179.150.72 )
2016-04-22 19:04:41,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,64,9037( 131.179.150.72 ),2433,9038( 131.179.150.72 )
2016-04-22 20:04:45,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,9053( 131.179.150.72 ),2384,9054( 131.179.150.72 )
2016-04-22 21:04:40,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,23,9069( 131.179.150.72 ),2598,9070( 131.179.150.72 )
2016-04-22 22:04:42,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,57,9085( 131.179.150.72 ),2479,9086( 131.179.150.72 )
2016-04-22 23:04:43,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,20,9101( 131.179.150.72 ),2362,9102( 131.179.150.72 )
2016-04-23 11:17:02,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4500,9115( 131.179.150.72 ),4500,9116( 131.179.150.72 )
2016-04-23 11:17:26,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4200,9117( 131.179.150.72 ),4200,9118( 131.179.150.72 )
2016-04-23 11:17:55,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,4000,9119( 131.179.150.72 ),4000,9120( 131.179.150.72 )
2016-04-23 11:18:38,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,3520,9121( 131.179.150.72 ),3507,9122( 131.179.150.72 )
2016-04-23 11:19:23,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,3028,9123( 131.179.150.72 ),3030,9124( 131.179.150.72 )
2016-04-23 11:20:09,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,2534,9125( 131.179.150.72 ),2654,9126( 131.179.150.72 )
2016-04-23 11:20:56,planetlab2.cs.ucla.edu,131.179.150.72,5000,1024,2043,9127( 131.179.150.72 ),2657,9128( 131.179.150.72 )
2016-04-20 16:27:12,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,82,7889( 192.16.125.12 ),35,7890( 192.16.125.12 )
2016-04-20 17:27:11,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,63,7945( 192.16.125.12 ),20,7946( 192.16.125.12 )
2016-04-20 18:27:11,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,64,8005( 192.16.125.12 ),24,8006( 192.16.125.12 )
2016-04-20 19:27:14,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,61,8061( 192.16.125.12 ),20,8062( 192.16.125.12 )
2016-04-20 20:26:45,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,58,8117( 192.16.125.12 ),2514,8118( 192.16.125.12 )
2016-04-20 21:26:46,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,31,8173( 192.16.125.12 ),2517,8174( 192.16.125.12 )
2016-04-20 22:26:51,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,61,8229( 192.16.125.12 ),2475,8230( 192.16.125.12 )
2016-04-20 23:26:45,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,70,8285( 192.16.125.12 ),2487,8286( 192.16.125.12 )
2016-04-21 00:26:46,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,70,8341( 192.16.125.12 ),2468,8342( 192.16.125.12 )
2016-04-21 01:26:45,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,67,8397( 192.16.125.12 ),2538,8398( 192.16.125.12 )
2016-04-21 02:26:46,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,58,8453( 192.16.125.12 ),2511,8454( 192.16.125.12 )
2016-04-21 03:26:45,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,51,8509( 192.16.125.12 ),2512,8510( 192.16.125.12 )
2016-04-21 05:19:30,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,139,8538( 192.16.125.12 ),2235,8546( 192.16.125.12 )
2016-04-21 07:18:16,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,216,8552( 192.16.125.12 ),213,8558( 192.16.125.12 )
2016-04-21 09:18:16,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,142,8564( 192.16.125.12 ),220,8570( 192.16.125.12 )
2016-04-21 11:18:16,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,143,8577( 192.16.125.12 ),214,8583( 192.16.125.12 )
2016-04-21 13:14:10,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,145,8589( 192.16.125.12 ),346,8595( 192.16.125.12 )
2016-04-21 16:08:17,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,141,8601( 192.16.125.12 ),58,8613( 192.16.125.12 )
2016-04-21 17:08:14,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2522,8614( 192.16.125.12 ),50,8629( 192.16.125.12 )
2016-04-21 18:08:15,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2523,8630( 192.16.125.12 ),64,8645( 192.16.125.12 )
2016-04-21 19:08:13,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2453,8646( 192.16.125.12 ),62,8661( 192.16.125.12 )
2016-04-21 20:08:14,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2564,8662( 192.16.125.12 ),50,8677( 192.16.125.12 )
2016-04-21 21:08:14,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2562,8678( 192.16.125.12 ),60,8693( 192.16.125.12 )
2016-04-21 22:08:14,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2508,8694( 192.16.125.12 ),82,8709( 192.16.125.12 )
2016-04-22 00:08:16,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2548,8710( 192.16.125.12 ),30,8735( 192.16.125.12 )
2016-04-22 01:08:14,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2490,8736( 192.16.125.12 ),56,8751( 192.16.125.12 )
2016-04-22 02:08:14,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2583,8752( 192.16.125.12 ),32,8767( 192.16.125.12 )
2016-04-22 03:08:14,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2536,8768( 192.16.125.12 ),22,8783( 192.16.125.12 )
2016-04-22 04:08:15,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2484,8784( 192.16.125.12 ),21,8799( 192.16.125.12 )
2016-04-22 05:08:13,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2548,8800( 192.16.125.12 ),21,8815( 192.16.125.12 )
2016-04-22 06:08:15,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2515,8816( 192.16.125.12 ),35,8831( 192.16.125.12 )
2016-04-22 07:08:23,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2580,8832( 192.16.125.12 ),20,8847( 192.16.125.12 )
2016-04-22 08:08:17,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2455,8848( 192.16.125.12 ),20,8863( 192.16.125.12 )
2016-04-22 09:08:20,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2490,8864( 192.16.125.12 ),20,8879( 192.16.125.12 )
2016-04-22 10:08:18,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2485,8880( 192.16.125.12 ),20,8895( 192.16.125.12 )
2016-04-22 11:08:16,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2503,8896( 192.16.125.12 ),20,8911( 192.16.125.12 )
2016-04-22 12:08:20,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2452,8912( 192.16.125.12 ),20,8927( 192.16.125.12 )
2016-04-22 13:08:14,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2486,8928( 192.16.125.12 ),26,8943( 192.16.125.12 )
2016-04-22 14:08:15,planetlab-2.ssvl.kth.se,192.16.125.12,5000,1024,2548,8944( 192.16.125.12 ),25,8959( 192.16.125.12 )
