test_date,Country,host_ip,num_packets,packet_size,base_losses_str,id_pcap_data,discrimination_losses_str,id_pcap_data
2016-05-05 02:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16276( 130.195.4.68 ),4982,16277( 130.195.4.68 )
2016-05-05 03:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16292( 130.195.4.68 ),4982,16293( 130.195.4.68 )
2016-05-05 04:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16308( 130.195.4.68 ),4982,16309( 130.195.4.68 )
2016-05-05 05:16:11,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16324( 130.195.4.68 ),4982,16325( 130.195.4.68 )
2016-05-05 06:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16340( 130.195.4.68 ),4982,16341( 130.195.4.68 )
2016-05-05 07:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16356( 130.195.4.68 ),4982,16357( 130.195.4.68 )
2016-05-05 08:16:15,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16372( 130.195.4.68 ),4982,16373( 130.195.4.68 )
2016-05-05 09:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16388( 130.195.4.68 ),4982,16389( 130.195.4.68 )
2016-05-05 10:16:11,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16404( 130.195.4.68 ),4982,16405( 130.195.4.68 )
2016-05-05 11:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16420( 130.195.4.68 ),4982,16421( 130.195.4.68 )
2016-05-05 12:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16436( 130.195.4.68 ),4982,16437( 130.195.4.68 )
2016-05-05 13:16:11,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16452( 130.195.4.68 ),4982,16453( 130.195.4.68 )
2016-05-05 14:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16468( 130.195.4.68 ),4982,16469( 130.195.4.68 )
2016-05-05 15:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16484( 130.195.4.68 ),4982,16485( 130.195.4.68 )
2016-05-05 16:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16500( 130.195.4.68 ),4982,16501( 130.195.4.68 )
2016-05-05 17:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16516( 130.195.4.68 ),4982,16517( 130.195.4.68 )
2016-05-05 18:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16532( 130.195.4.68 ),4982,16533( 130.195.4.68 )
2016-05-05 19:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16548( 130.195.4.68 ),4982,16549( 130.195.4.68 )
2016-05-05 20:16:16,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16564( 130.195.4.68 ),4982,16565( 130.195.4.68 )
2016-05-05 21:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16580( 130.195.4.68 ),4982,16581( 130.195.4.68 )
2016-05-05 22:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16596( 130.195.4.68 ),4982,16597( 130.195.4.68 )
2016-05-05 23:16:12,planetlab1.ecs.vuw.ac.nz,130.195.4.68,5000,1024,4992,16612( 130.195.4.68 ),4982,16613( 130.195.4.68 )
2016-05-05 00:22:02,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16246( 129.63.159.102 ),22,16247( 129.63.159.102 )
2016-05-05 01:22:05,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,24,16262( 129.63.159.102 ),22,16263( 129.63.159.102 )
2016-05-05 02:20:43,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16278( 129.63.159.102 ),22,16279( 129.63.159.102 )
2016-05-05 03:22:13,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16294( 129.63.159.102 ),22,16295( 129.63.159.102 )
2016-05-05 04:20:41,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16310( 129.63.159.102 ),22,16311( 129.63.159.102 )
2016-05-05 05:20:40,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16326( 129.63.159.102 ),22,16327( 129.63.159.102 )
2016-05-05 06:22:14,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,24,16342( 129.63.159.102 ),22,16343( 129.63.159.102 )
2016-05-05 07:20:40,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16358( 129.63.159.102 ),22,16359( 129.63.159.102 )
2016-05-05 08:21:35,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16374( 129.63.159.102 ),22,16375( 129.63.159.102 )
2016-05-05 09:20:43,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16390( 129.63.159.102 ),22,16391( 129.63.159.102 )
2016-05-05 10:20:40,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16406( 129.63.159.102 ),22,16407( 129.63.159.102 )
2016-05-05 11:20:40,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16422( 129.63.159.102 ),22,16423( 129.63.159.102 )
2016-05-05 12:21:17,planetlab2.cs.uml.edu,129.63.159.102,5000,1024,22,16438( 129.63.159.102 ),26,16439( 129.63.159.102 )
